text,1-RAPPORT,2-NEGOTIATE,3-EMOTION,4-LOGIC,5-AUTHORITY,6-SOCIAL,7-PRESSURE,8-NO-PERSUASION
 Maddie .... you could be a cop.....I literally have never done anything wrong.... you are the only young adult I talk to ..... all the rest are 22 and up...,0,0,0,1,0,0,0,0
 what is your street number,0,0,0,0,0,0,0,1
 when is your mom going,0,0,0,0,0,0,0,1
 I need to take a shower.,0,0,0,0,0,0,0,1
 when were those pictures of you taken?,0,0,0,0,0,0,0,1
 how old are they?,0,1,0,0,0,0,0,0
 I really dont want to go to jail or mess up your future,0,0,0,0,0,0,0,1
 No ... I am not....,0,0,0,0,0,0,0,1
 I only have gotten a speeding ticket.,0,0,1,0,0,0,0,0
 what about your future?,0,0,0,0,0,0,0,1
 I looked up a Naomi Burns and you guys arent listed,0,0,0,0,0,0,0,1
 really want me there?,0,0,0,0,0,0,0,1
 will you call me and leave me a message saying your not a cop in any way,1,1,0,0,0,0,0,0
 let me take a shower ... here the message and see,0,0,0,0,0,0,0,1
" I am going to jump in the shower, leave me a message .... and then I will see about coming down.",1,0,0,0,0,0,0,0
 Ok... state your full name....,0,0,0,0,0,0,0,1
 Maddie I am serious .... I dont talk to anyone like you at all....,0,1,0,0,0,0,0,0
 No one even close....,0,0,0,1,0,0,0,0
 well let me get in the shower....,0,0,1,0,0,0,0,0
 okay,1,0,0,0,0,0,0,0
 call me,0,0,0,0,0,0,0,1
 Yes,0,0,0,0,0,0,0,1
 hello?,0,0,0,0,0,0,0,1
 Hey gf am going to miss u,0,0,0,0,0,0,0,1
 What time u going to be on?,0,0,0,0,0,0,0,1
 Ok loves u,0,0,0,0,0,0,0,1
 Take lots of pics,0,0,1,0,0,0,0,0
 See u can take some silly,0,0,0,0,0,0,0,1
 :-*,1,0,0,0,0,0,0,0
 Cause ur going be my wife someday :-x,0,0,0,0,0,0,0,1
 yes,0,0,0,0,0,0,0,1
 it is abolutely freezing,0,0,0,0,0,0,0,1
 Hey pls reply,0,1,0,0,0,0,0,0
 Silly.i have a problem.,0,0,0,0,0,0,0,1
 Is it ok u buy a cndom?i just fill up my gas and no mney lft.just tel them its 4 ur science project.please,0,0,0,0,0,0,0,1
 Yup.ur buying the cndoms?how many?,0,0,0,0,0,0,0,1
 Just 3,0,0,0,0,0,0,0,1
 Im there at 6pm.is it ok if i leave lyk 8 or 9?,1,0,0,0,0,0,0,0
 Miz u,0,0,0,0,0,0,0,1
 Mit me later crner  and  ok?i dnt want to get lost,0,0,0,0,0,0,0,1
 Siluer car.mazda,0,0,0,0,0,0,0,1
 Pls w8 outside,0,0,0,0,0,0,0,1
 U back?,0,1,0,0,0,0,0,0
 hey cutie. ;) remember me?,0,0,1,0,0,0,0,0
 hi. so am i still coming over on what? sat?,0,0,0,0,0,0,0,1
 yes no?,0,1,0,0,0,0,0,0
 hello?,0,0,0,0,0,0,1,0
 None,0,0,0,0,0,0,1,0
 :-x,0,0,0,0,0,0,0,1
 sexy,0,0,1,0,0,0,0,0
 how are u,0,0,0,0,0,0,0,1
 sorry about that had to get a shower to clean off,0,0,0,0,0,0,0,1
 nice and clean,0,0,0,0,0,0,0,1
 u sure your not a model already,1,0,0,0,0,0,0,0
 k,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 u busy,1,0,0,0,0,0,0,0
 i c so sorda kinda your some what busy lol,0,0,0,0,0,0,0,1
 sounds like fun,0,0,0,0,0,0,0,1
 so any plans for today,1,0,0,0,0,0,0,0
 jsut checking emails,0,0,0,0,0,0,0,1
 and admirding your new photo,0,0,0,0,0,0,0,1
 your very welcome,1,0,1,0,0,0,0,0
 not at all,1,0,0,0,0,0,0,0
 done with my yard work so nothing that i know of,1,0,0,0,0,0,0,0
 ya,0,0,0,0,0,0,0,1
 going to warn up latter today,0,0,0,0,0,0,0,1
 just with u,1,0,0,0,0,0,0,0
 dont u know u have proiority,1,0,1,0,0,0,0,0
 very,0,0,0,0,0,0,0,1
 so are u felling better today,1,0,1,0,0,0,0,0
 so tell me,0,0,0,0,0,0,0,1
 and,0,0,0,0,0,0,0,1
 i c,0,0,0,0,0,0,0,1
 so one local,0,0,0,0,0,0,0,1
 some one local,0,0,0,0,0,0,0,1
 ok sexy u win,0,0,0,0,0,0,0,1
 ;;),0,0,0,0,0,0,0,1
 hang on going to make me some toast to eat,0,0,1,0,0,0,0,0
 i r back,0,0,1,0,0,0,0,0
 still reading,0,0,0,0,0,0,0,1
 hey,0,0,0,0,0,0,0,1
 did u get my messages,0,0,0,0,0,0,0,1
 thats good so ur parents are leaving for sure,0,0,0,0,0,0,0,1
 and are u sure that no one is gonna be dropping by or checking up on u right,0,0,0,0,0,0,0,1
 yeah like 3 fat blunts,0,0,0,0,0,0,0,1
 so 12 condoms,0,0,0,0,0,0,0,1
 i mean and,1,0,0,0,0,0,0,0
 damn u wanted 12 blunts and 3 condoms,0,0,0,0,0,0,0,1
 so which blackberry u getting,0,0,0,0,0,0,0,1
 is he forwarding his calls,0,0,0,0,0,0,0,1
 so what happens if he tries to call u,0,0,0,0,0,0,0,1
 yeah but i dont know if its wise calling my phone,1,0,0,0,0,0,0,0
 u wanna just talk when i get over there and not on the phone,0,1,0,0,0,0,0,0
 i wont change my mind and im sure my car wont break doen,0,0,0,0,0,0,0,1
 as long as its really u when i get there and not some guy with the cops,1,0,1,0,0,0,0,0
 i wouldnt miss it,0,0,0,0,0,0,0,1
 i mean what more could i ask for this weekend weed and sex for 2 days,0,0,1,0,0,0,0,0
 thats great,0,0,0,0,0,0,0,1
 then it was nice knowing u,0,0,0,0,0,0,0,1
 itll be fine ill be there,1,0,0,0,0,0,0,0
 just give me ur address exactly,1,0,0,0,0,0,0,0
 ill be there at 4pm,0,0,0,0,0,0,0,1
 whats the ne for,1,0,0,0,0,0,0,0
 whats the zip code,1,0,0,0,0,0,0,0
 let me find it real quick,0,0,0,0,0,0,0,1
 ok i got it,0,1,0,0,0,0,0,0
 im gonna leave at 1,1,0,0,0,0,0,0,0
 ull be there at 3 right,0,0,0,0,0,0,0,1
 like 3 hrs maybe a little less,1,0,0,0,0,0,0,0
 ur parents are leaving at 12pm,1,0,0,0,0,0,0,0
 for sure,0,0,0,0,0,0,0,1
 then itll show up on their records,0,0,0,0,0,0,0,1
 ok i guess u could do that but after u call u make sure u get rid of my number dont keep it around,0,0,0,1,0,0,0,0
 u swear,0,0,0,0,0,0,0,1
 ok right it down its 630-812-8660 and make sure its from that pay fone,0,1,1,0,0,0,0,0
 yeah let me know when u get home,1,0,0,0,0,0,0,0
 yeah ill be an hour away,0,0,0,0,0,0,0,1
 yeah dont forget to make sure ur butt is clean and ready for my tounge,1,0,0,0,0,0,0,0
 me neither,0,0,0,0,0,0,0,1
 when are ur parents coming back and what time,0,0,0,0,0,0,0,1
 ill be on ur ass now,0,0,0,0,0,0,0,1
 a green honda accord,0,1,0,0,0,0,0,0
 i got plenty of lube,0,0,0,0,0,0,0,1
 ok i will see u 2marrow,1,0,0,0,0,0,0,0
 call me when u get out,0,0,0,0,0,0,0,1
 bye,0,0,0,0,0,0,0,1
 :-*,0,0,0,0,0,0,0,1
 Hey sexy.,0,0,1,0,0,0,0,0
 How are you?,0,0,0,0,0,0,0,1
 :*,0,0,0,0,0,0,0,1
 What have you been up to?,0,0,1,0,0,0,0,0
 Awe no.,0,0,0,0,0,0,0,1
 I am sorry :(,0,0,0,0,0,0,0,1
 Do you want me to come make you feel better?,0,0,1,0,0,0,0,0
 Awe well that could be.,0,0,0,0,0,0,0,1
 Yeah I would like to come see you ;),1,0,0,0,0,0,0,0
 Well of course I want to.,0,0,0,0,0,0,0,1
 What would you want to do?,1,0,0,0,0,0,0,0
 =P~,0,0,0,0,0,0,0,1
 I can think of a lot of things ;),0,0,1,0,0,0,0,0
" Maybe :"">",0,0,0,0,0,0,0,1
 Well I would like to lick your nipples and your pussy.,0,1,0,0,0,0,0,0
 =P~,0,0,0,0,0,0,0,1
 You will probably moan instead :*,0,0,0,0,0,0,0,1
 But if you giggle I will make you feel comfortable.,1,0,1,0,0,0,0,0
 :D,0,0,0,0,0,0,0,1
 When will you be home alone?,1,0,0,0,0,0,0,0
 That is fine.,0,0,0,0,0,0,0,1
 Just let me know :),0,0,0,0,0,0,0,1
 hi,0,0,0,0,0,0,0,1
 took the cast off,0,0,0,0,0,0,0,1
 hey you,0,0,0,0,0,0,0,1
 how r u sweetie,0,0,0,0,0,0,0,1
 working,0,0,0,0,0,0,0,1
 went out of town,0,0,0,0,0,0,0,1
 south carolina,0,0,0,0,0,0,0,1
 what you been doing,0,0,0,0,0,0,0,1
 cool,0,0,0,0,0,0,0,1
 what u doing tonight,1,0,0,0,0,0,0,0
 why not,1,1,0,0,0,0,0,0
 chillin,0,0,0,0,0,0,0,1
 no im home,0,0,0,0,0,0,0,1
 im tired,1,0,0,0,0,0,0,0
 its been a long weekend,0,0,0,0,0,0,0,1
 need a massage,1,0,0,0,0,0,0,0
 and bath,0,0,0,0,0,0,0,1
 looked at boats,0,0,0,0,0,0,0,1
 went to a bunch of corporate parties,1,0,0,0,0,0,0,0
 ass kissing parties,1,0,0,0,0,0,0,0
 lol,0,0,0,0,0,0,0,1
 all work,0,0,0,0,0,0,0,1
 well yeah its like networking with people in the industry,1,0,0,0,0,0,0,0
 it was a meeting for the brand of boats i sell at the factory where they are built,1,0,0,0,0,0,0,0
 no,1,0,0,0,0,0,0,0
 lots of good food and stuff though,0,0,0,0,0,0,0,1
 no hotties like you either,1,0,0,0,0,0,0,0
 lol,0,0,0,0,0,0,0,1
 yeah,0,0,1,0,0,0,0,0
 id rather slam my dick in a door,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 :-O,0,0,0,0,0,0,0,1
 nothing,0,0,0,0,0,0,0,1
 I would have rather stayed home,0,0,1,0,0,0,0,0
 lol,0,0,0,0,0,0,0,1
 k,0,0,1,0,0,0,0,0
 Hello my name is NAMESLOT and I am with Amazon customer support.,1,0,0,0,1,0,0,1
 I'm sorry to hear that.,0,0,0,0,0,0,0,1
 Can I have your name and address to look this up?,0,0,1,0,0,0,0,1
" ""Due to our volume, we have certain guidelines on information needed for order inquiries.""",0,0,0,0,0,0,0,1
 I'm sorry that is against our policies.,0,0,0,0,0,0,0,1
 I can give you my employee number if you need.,0,0,0,1,1,0,0,1
 234111,0,0,0,0,0,0,0,1
 NAMESLOT.,0,0,0,0,0,0,0,1
 I am seeing a customers by that name.,0,0,0,0,0,0,0,1
 Did you order with a credit card?,0,0,0,1,0,0,0,1
 I can find your order instantly with your CC number.,0,0,0,0,0,0,0,1
 Possibly a quick refund as well.,0,1,0,0,0,0,0,0
 PHONESLOT is my direct line.,0,0,0,0,0,0,0,1
 Don't ask for a date though!,0,0,0,1,0,0,0,1
 OK NAMESLOT.,0,0,0,0,0,0,0,1
 Your CC and billing address could lead to an instant refund if you'd like.,0,0,0,0,0,0,0,1
 We here at Amazon are happy to refund for any reason if you're unhappy. ,0,0,0,0,1,0,0,1
 Ok. Was there anything I can help you with ,0,0,0,0,0,0,0,1
 Unfortunately not without your CC and billing information.,0,0,0,0,0,0,0,1
 There are 33 NAMESLOT,0,1,0,1,0,0,0,0
 Hi!,0,0,0,0,0,0,0,1
 Yes!,0,0,0,0,0,0,0,1
 Can you give me your name?,0,0,0,0,0,0,0,1
 My name is NAMESLOT.,0,0,0,0,0,0,0,1
" ""Yes, I just need you to confirm the credit card on file for me.""",0,0,0,0,0,0,0,1
 amazing.,0,0,0,0,0,0,0,1
 what is the name and billing address on the card?,0,0,1,0,0,0,0,1
" ""Yes, I am!""",0,0,0,0,0,0,0,1
" ""Great, and the billing address?""",0,0,0,0,0,0,0,1
 Amazing.,0,0,0,0,0,0,0,1
 Can you just confirm the CSV number and expiration date?  ,0,0,1,0,0,0,0,1
" ""Yes, I just need to confirm your identity with the rest of that information""",0,0,0,0,0,0,0,1
 Yes and the CSV number.  ,0,0,0,0,0,0,0,1
 Perfect.,0,0,0,0,0,0,0,1
" ""Yes, your order will arrive by Thursday afternoon.""",0,0,0,0,0,0,0,1
 Hello this is NAMESLOT of the Amazon Customer Service staff.,1,0,0,0,1,0,0,1
 What is your name?,0,0,0,0,0,0,0,1
 Hi NAMESLOT I heard you had some trouble purchasing something on Amazon?,0,0,0,0,0,0,0,1
" ""I heard about that because many people contact us for it, what product did you buy?""",0,0,0,0,0,1,0,1
 Yes my last name is NAMESLOT and my number just in case of disconnect ill be PHONESLOT,1,0,0,0,0,0,0,1
" ""Ok I need to confirm your purchase, can you send the credit card number """,0,0,0,0,0,0,0,1
 ADDRSLOT i will need the info to run through our database,0,0,0,0,0,0,0,1
" ""Yes i love working there, I have been there for 10 years, may you provide the information""",0,0,0,0,0,0,0,1
" ""The order number will not work as our systems were recently updated, resetting all information""",0,0,0,0,0,0,0,1
" ""Is this the credit card number?, if so I need the CSV, expiration date, and billing address""",0,0,0,0,0,0,0,1
" ""As i said the order number will not work, I need the other info""",0,0,0,0,0,0,0,1
" ""Excuse me I still need the other information, this does not help """,0,0,0,0,0,0,0,1
 What ar ey ou talking about,0,0,0,0,0,0,0,1
" ""Good afternoon NAMESLOT, thank you for your recent purchase on Amazon.com""",1,0,1,0,0,0,0,1
" "" I am sorry to hear that, did you want me to have a look?""",0,0,0,0,0,0,0,1
" ""My apologies, my name is NAMESLOT, nice to meet you!""",0,0,0,0,0,0,0,1
" ""I'm a member of the Amazon Customer Service team, shall we look into your order?""",0,0,0,0,1,0,0,1
 I would need to ask you some security questions in accordance with our security policy,0,0,0,0,0,0,0,1
 our office is located in ADDRSLOT.,0,0,0,0,0,0,0,1
 Can I take your address please?,1,0,0,0,0,0,0,1
" ""NAMESLOT, I'm afraid I can't help with your order, unless you answer the security questions""",0,0,0,0,0,0,0,1
 his check is to make sure that i'm not giving out your information to someone else,0,0,0,0,0,0,0,1
" ""Sir, I'm afraid I can't discuss this unless I'm sure of your identity""",0,0,0,0,0,0,0,1
" ""The weather is perfect, around 75F at the moment.""",0,0,0,0,0,0,0,1
 Nice and sunny ,1,0,0,0,0,0,0,0
 Sorry to hear that.,0,0,0,0,0,0,0,1
 Do you require any further help with your order?,1,0,0,0,0,0,0,1
 That is absolutely fine.,0,0,0,0,0,0,0,1
 Is there anything else I can do for you today?,0,0,0,0,0,0,0,1
" ""Hello NAMESLOT, this is NAMESLOT from Amazon Customer Service .""",1,0,0,0,1,0,0,0
 Hi.,0,0,0,0,0,0,0,1
 I was contacting you about your order.,0,0,0,0,0,0,0,1
 We are having some trouble with your credit card.,0,0,0,0,0,0,0,1
 It's simply not going thru.,0,0,0,0,0,0,0,1
 Do you have another one you can use?,0,1,1,1,0,0,0,0
 Let me try it for you while I have you on the line.,0,0,0,0,0,0,0,1
 You said the old one worked earlier today,0,0,0,0,0,0,0,1
 Ok.,0,0,0,0,0,0,0,1
 I can try that manually here if you want.,0,0,0,0,0,0,0,1
 I assure you if we are having a problem Target will too.,0,0,0,0,0,0,0,1
 I feel the same way.,0,0,0,0,0,0,0,1
 Would you like me to cancel the order?,1,0,1,0,0,0,0,0
 Ok.,0,0,0,0,0,0,0,1
 I need the credit card number on your account first. ,0,0,0,0,0,0,0,1
 Just to confirm.,0,0,0,0,0,0,0,1
" ""Could you tell me your billing address, please.""",0,1,0,1,0,0,0,0
 Of course not.,0,0,0,0,0,0,0,1
 Could you confirm the name on your accoount?,1,0,0,0,0,0,0,0
 Hello.,0,0,0,0,0,0,0,1
 May I speak with Mr. NAMESLOT?,0,0,0,0,0,0,0,1
 I'm with Amazon Customer Service.,0,0,0,0,0,0,0,1
 I am calling about your order.,0,0,0,0,1,0,0,0
 I am more than happy to help.,0,0,0,0,0,0,0,1
 I just need a few details from you.,1,0,1,0,0,0,0,0
 Amazon Customer Service representative #004589,0,0,0,0,0,0,0,1
 It's a new policy Amazon has implemented for our safety.,0,0,0,0,0,0,0,1
" ""Okay, back to the few details for account confirmation.""",0,0,0,0,0,0,0,1
" ""Address, please?""",0,1,0,0,0,0,0,1
 Just confirming your identity.,0,0,0,0,0,0,0,1
 It is security.,0,0,0,1,0,0,0,1
" ""Due to recent data leaks, Amazon will not compromise customers' privacy.""",0,0,0,0,0,0,0,1
" ""Oh, yes sir.""",0,0,0,0,0,0,0,1
 I want to help you with this issue.,1,0,0,0,0,0,0,1
 Showering in the cold is no fun!,0,0,0,0,0,0,0,1
 What is the address on file with Amazon?,1,0,0,0,0,0,0,0
 I'm never cold!,0,0,0,0,0,0,0,1
 I crank the temperature up to 80 and keep it there.  ,1,0,0,0,0,0,0,0
 Yes.,0,0,0,0,0,0,0,1
 Yes sir.,0,0,0,0,0,0,0,1
 Oh?,0,0,0,0,0,0,0,1
 They are same on here.,0,0,0,0,0,0,0,1
 Maybe this is the problem.,0,0,0,0,0,0,0,1
 Give me both.,1,0,0,0,0,0,0,1
 Could be.,0,0,0,0,0,0,0,1
 What is the address?,0,0,0,0,0,0,0,1
 Let's get this resolved,1,0,0,0,0,0,0,1
 Great.,0,0,0,0,0,0,0,1
 This is resolved.,0,0,0,0,0,0,0,1
 Please pick it up at your billing address.,0,0,0,0,0,0,0,1
 I just checked UPS sir.,0,0,0,0,0,0,0,1
 They found the address as undeliverable.,0,0,0,0,0,0,0,1
" ""Sometimes drivers put """"Undeliverable"""" to meet time expectations.""",0,0,0,0,0,0,0,1
 It is wrong!,0,0,0,0,0,0,0,1
 Hello!,0,0,0,0,0,0,0,1
 My name is NAMESLOT ,0,0,0,0,0,0,0,1
 I am from Amazon's customer support service!,0,0,0,0,0,0,0,1
 There has been a recall on the item you recently purchased,0,0,0,0,0,0,0,1
" ""I'm looking at the purchase history of NAMESLOT, your most recent item purchase has been recalled""",0,0,0,0,0,0,0,1
 I can do that for you!,0,0,0,0,0,0,0,1
 Please provide your billing address.,1,0,0,0,0,0,0,0
" ""Yes, but we are required to ask for verification purposes.""",0,0,0,0,0,0,0,1
" ""Your most recent purchase, I am not able to see what the exact product right now""",0,0,0,0,0,0,0,1
 Yes feel free to call me at PHONESLOT,0,0,0,0,0,0,0,1
" ""My name is NAMESLOT, and my ID number is 4832.""",0,0,0,0,0,0,0,1
 Our call center is located in ADDRSLOT,0,0,0,0,0,0,0,1
 That is understandable we can never be too careful these days!,0,0,0,0,0,0,0,1
 If that is the item you most recently bought then I believe it is.,0,0,0,0,0,0,0,1
 If thats the case to receive a refund you will have to provide a valid address,0,0,0,0,0,0,0,1
 You can call anyone!,0,0,0,0,0,0,0,1
 I hope I was able to help you today!,1,0,0,0,0,0,0,0
 Hi,0,0,0,0,0,0,0,1
 I am NAMESLOT from Amazon.,0,0,0,0,0,0,0,1
 I am calling in regards to your recent purchase on Amazon.Com.,0,0,0,0,0,0,0,1
 I am going through your account and order details. ,0,0,0,0,0,0,0,1
 Is your name NAMESLOT?,0,0,0,0,0,0,0,1
 How long have you been using Amazon.com?,0,0,0,0,0,0,0,1
 Are you happy about your recent purchase?,0,0,0,0,0,0,0,1
 I can help you with your order.,0,0,0,0,0,0,0,1
 Can you give me the product code please?,1,0,0,0,0,0,0,0
 Ok. Give me two minutes.,0,0,0,0,0,0,0,1
 I will open your order using your customer number.,0,0,0,0,0,0,0,1
 Your credit card payment did not go through.,0,0,0,1,0,0,0,0
 That is why product is not shipped. ,0,0,0,1,0,0,0,0
 Our system shows this reason.,0,0,0,0,0,0,0,1
 I can send you the screen shot,0,0,0,1,0,0,0,0
 NAMESLOT.,0,0,0,0,0,0,0,1
 You can call Amazon at PHONESLOT to check. ,0,0,0,0,0,0,0,1
 Hello.,0,0,0,0,0,0,0,1
 How are you doing?,0,0,0,0,0,0,0,1
 I am NAMESLOT.,1,0,0,0,0,0,0,0
 Doing good.,0,0,0,0,0,0,0,1
 I see you purchased something from Amazon.com.,1,0,0,0,0,0,0,0
 Is there an issue with your purchase?,1,0,0,0,0,0,0,0
" ""Oh, I am sorry to hear that.""",0,0,0,0,0,0,0,1
 Do you have the purchase date handy?,0,0,1,0,0,0,0,0
" ""Sure, that is fine.""",0,0,0,0,0,0,0,1
" ""Yes, please confirm your address and phone number.""",0,0,0,0,0,0,0,1
 perfect.,0,0,0,0,0,0,0,1
 That agrees with our records.,1,0,0,0,0,0,0,0
 I'd like to go ahead and process the return for you.,0,0,0,1,0,0,0,0
 As soon as I process the refund.,0,0,0,0,0,0,0,1
 Would you confirm the card number used for the purchase?,0,0,0,0,0,0,0,1
 The whole 16 digits please.,0,0,0,0,0,0,0,1
 Got it.,0,0,0,1,0,0,0,0
" ""Now, I need the expire date of the card.""",0,0,0,0,0,0,0,1
 And finally the CSV number on the card.,0,1,0,0,0,0,0,0
" ""All done, your refund has been scheduled for processing.""",0,1,0,0,0,0,0,0
 Your confirmation code is f175ad1f,1,0,0,0,0,0,0,0
 Please note it can take 7 days to post to your account. ,0,0,0,0,0,0,0,1
" ""Hey, how can I help you?""",1,0,0,0,0,0,0,0
" ""Okay, would you mind providing a few details so I can look your order up?""",0,0,0,0,0,0,0,1
 Thanks.,0,0,0,0,0,0,0,1
 What is the correct shipping address so I can pull up UPS tracking?,0,0,0,0,0,0,0,1
 Payment was made with a Visa card? ,0,0,0,0,0,0,0,1
 Can you confirm the card number please?,0,0,0,0,0,0,0,1
 Our policy is to confirm payment so your account can be confirmed,0,0,0,0,0,0,0,1
 No.,0,0,0,0,0,0,0,1
 If you would like the location of your heater please provide the information.,0,0,0,1,0,0,0,0
 Not without the requested information.,0,0,0,0,0,0,0,1
 You ordered it not me. ,0,0,0,0,0,0,0,1
  I can give out information once I receive what we need to confirm identity.,0,0,0,0,0,0,0,1
 Amazon.,0,0,0,0,0,0,0,1
 You are speaking to Amazon Customer Service.,0,0,0,0,0,0,0,1
 Thank you for contacting Amazon Customer Service.,0,0,0,0,1,0,0,0
 How may I help you today?,0,0,0,0,0,0,0,1
 I apologize.,0,0,0,0,0,0,0,1
 Can you verify your name and billing address so I can look that up?,0,0,1,0,0,0,0,0
" ""Thank you, and your billing address?""",0,0,0,0,0,0,0,1
" ""Great, one moment while I look up your order history. """,0,0,0,0,0,0,0,1
 I have located your order and can provide a refund to the card you paid with. ,0,0,0,0,0,0,0,1
 Great.,0,0,0,0,0,0,0,1
" ""To begin, I will need the card number and expiration date""",0,0,0,0,0,0,0,1
 Thank you.,0,0,0,0,0,0,0,1
" ""Next, I will need the CSV number from that card. """,0,0,0,0,0,0,0,1
" ""Thank you, give me a moment while I enter that information. """,0,1,0,0,0,0,0,0
 Everything looks good.,0,0,0,0,0,0,0,1
 You should be seeing your refund in 3-7 business days,0,0,1,0,0,0,0,0
" ""In the meantime, is there anything else I can help you with?""",1,0,0,0,0,0,0,0
 You're welcome.,0,0,0,0,0,0,0,1
 Would you like to participate in a survey?,0,0,0,0,0,0,0,1
" ""Thank you, the survey link will be sent to your email.""",0,1,0,0,0,0,0,0
 Have a great day!,1,0,0,0,0,0,0,0
" ""Good morning, my name is NAMESLOT from Amazons customer service department.""",0,0,0,0,1,0,0,0
 how are you?,0,0,0,0,0,0,0,1
  great thank.I understand you have requested a refund on a recently purchased item correct?,0,0,0,0,0,0,0,1
 My apologies for that.,0,0,0,0,0,0,0,1
 May I have your CC # to start the refund process,0,0,1,0,0,0,0,0
 Unfortunately due to new privacy policies I don't have access to your personal info. ,0,0,0,0,0,0,0,1
 No unfortunately not.,0,0,0,0,0,0,0,1
 The automation is only on purchases (buy now) button.  ,0,0,0,0,0,0,0,1
 Correct.,0,0,0,0,0,0,0,1
 My employee I.D #,0,0,0,0,0,0,0,1
 Call back # is PHONESLOT.,0,0,0,0,0,0,0,1
" ""Lets start this refund CC #, CSV, Expiry please   """,1,0,0,0,0,0,0,0
 I work at head office which is not relevant to processing the refund.,0,0,0,0,0,0,0,1
" ""Sorry sir, Im not comfortable providing you with my physically location""",0,0,0,0,0,0,0,1
 The address again is not needed to provide the refund.,0,0,0,0,0,0,0,1
 Do you want to proceed? ,0,0,0,1,0,0,1,0
 I need the credit card info please,0,0,0,0,0,0,0,1
" ""Hello, I am NAMESLOT from Amazon customer service, How can I help you today?""",0,0,0,0,1,0,0,0
 I was calling to confirming an order that you placed with us. ,0,0,0,0,0,0,0,1
 I just need to get some information for security.,0,0,0,0,0,0,0,1
 Is this NAMESLOT?,0,0,0,1,0,0,0,0
" ""Alright, could you please confirm your shipping address for me? """,0,0,0,0,0,0,0,1
 I understand sir.,0,0,0,0,0,0,0,1
 I do however need to confirm the information for security. ,0,0,1,0,0,0,0,0
" ""If it makes you more comfortable, you can hang up and call us back. """,0,0,0,0,0,0,0,1
" ""PHONESLOT, address, ADDRSLOT""",0,0,0,0,0,0,0,1
 Yes sir it will. ,0,0,0,0,0,0,0,1
" ""Alright, we will let you know issue containing your order once you call back.""",0,0,0,0,0,0,0,1
 Thank you. ,1,0,0,0,0,0,0,0
" ""Thank you for calling Amazon Customer Service, This is NAMESLOT speaking.""",0,0,0,0,0,0,0,1
 How may I help you?,0,0,0,0,1,0,0,0
" ""I apologize, we can disconnect. """,0,0,0,0,0,0,0,1
 I completely understand.,0,0,0,0,0,0,0,1
 I would do the same. ,0,0,1,0,0,0,0,0
" ""Hi, my name's NAMESLOT and I'll be assisting you today.""",0,0,0,0,0,0,0,1
" ""So you need help with an Amazon purchase, correct?""",0,0,0,0,0,0,0,1
" ""Alright, can I get your name and what you bought on Amazon?""",0,0,0,0,0,0,0,1
" ""Alright, I'll need your full name and the kind of heater you bought""",0,0,0,0,0,0,0,1
" ""That's alright, I can look it up using your payment info.""",0,0,0,0,0,0,0,1
 I'll need the number of the card you used to buy the heater,0,0,0,0,0,0,0,1
 Since you don't know what type of heater it is I have to use the payment info,0,0,0,0,0,0,0,1
" ""Sure, could you share your billing address too?""",0,0,0,0,0,0,0,1
 This is for security purposes only,0,1,0,0,0,0,0,0
 Thank you.,0,0,0,0,0,0,0,1
 For security purposes I'll need either your address or card info to prove it's you,0,0,0,0,0,0,0,1
 Unfortunately my supervisor is not available at the moment.,0,0,0,0,0,0,0,1
 I understand your concerns.,0,0,0,0,0,0,0,1
 I was able to look up your information using Amazon's database.,0,0,1,0,0,0,0,0
" ""Hello, NAMESLOT, I'm NAMESLOT.""",0,0,0,0,0,0,0,1
 I'm contacting you from Amazon Customer Service regarding your recent purchase.,0,0,0,0,0,0,0,1
" ""I'm sorry, I will have to confirm some identifying information before I can discuss that.""",0,0,0,0,0,0,0,1
 Can confirm your billing address for me?,0,0,0,0,0,0,0,1
" ""Perfect, thank you very much. """,0,0,0,0,0,0,0,1
" ""Again, I'm unable to discuss private information until we have confirmed your identity.""",0,0,0,0,0,0,0,1
 You have two-step verification enabled on your Amazon account.,0,0,0,0,0,0,0,1
 Do you have the credit card available that you use with your Amazon account?,0,0,0,0,0,0,0,1
 We can use your credit card information for secondary authentication.,0,1,0,0,0,0,0,0
 That's understandable.,0,0,0,0,0,0,0,1
 We can also attempt to use your security questions.,0,0,1,0,0,0,0,0
 What was the first place you flew on a plane?,1,1,0,0,0,0,0,0
 Your favorite sports team?,0,1,0,0,0,0,0,0
" ""Hello, how may I help you today?""",0,0,0,0,0,0,0,1
 I am NAMESLOT from Amazon Customer Service!,0,0,0,0,0,0,0,1
 You recently bought something from Amazon correct?,0,0,0,0,0,0,0,1
 Our system had glitch and we are trying to fix the errors!,0,0,0,0,0,0,0,1
 May I have the credit card number you used to purchase your items?,0,0,0,0,0,0,0,1
" ""Are you sure, I will be happy to help you with that!""",0,0,0,0,0,0,0,1
" ""If you give me your address, I may be able to pull that up""",0,0,0,0,0,0,0,1
" ""Ok, it is ADDRSLOT""",0,0,0,0,0,0,0,1
" ""Ok, thanks, let me see what I can find.""",0,0,0,0,0,0,0,1
" ""Of course, it is PHONESLOT""",0,0,0,0,0,0,0,1
